Sample,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils,IS
TCGA_QG_A5YV,-0.039880391,0.067889468,0.011640057,0.001877555,0.007905429,-0.011255884,0.0057698,-0.002564179,-0.0020707,0.001648689,0.011580833,-0.012614691,0.000347212,-0.002946736,0.0001299,0.001593037,-0.000666404,0.000487659,-0.001122343,0.00753387,-0.001234062,-1.89E-05,2
TCGA_WS_AB45,-0.034639173,0.058040928,0.009171158,0.001984103,0.007431887,-0.008034584,0.004215134,-0.003227886,-0.002494533,0.001716091,0.00997869,-0.010868307,0.001633755,-0.00202412,0.000152485,0.005763059,-0.000431399,0.000308892,-0.000233787,0.006115186,-0.001361135,0.000854855,2
TCGA_4T_AA8H,-0.034467893,0.058123436,0.009768045,0.00187375,0.006850317,-0.009875863,0.003985255,-0.002127434,-0.001723255,0.001552034,0.009023205,-0.009951758,0.000342922,-0.002378453,4.05E-05,0.001439271,-0.000648652,0.000415793,-9.32E-05,0.005760596,-0.000785682,-2.72E-05,3
TCGA_5M_AAT4,-0.0093198,0.014437761,0.002127251,-0.00181954,0.001917765,-0.002322914,7.49E-05,-0.001652693,0.000715132,0.003011332,0.000373109,-0.002504826,0.001383661,0.005906904,-0.000304267,-0.007455088,-0.001355454,-0.000549595,-0.0043556,0.002540591,-0.001943493,-0.001344626,3
TCGA_A6_2671,-0.005509782,0.009853653,0.001465864,0.00040434,0.000568048,-0.001253433,0.00081257,-0.000279778,-0.000108746,0.000270157,0.001772435,-0.001980901,-5.83E-05,6.11E-06,0.000263913,0.000779055,0.000452802,9.74E-05,5.23E-05,0.001188418,-0.000230133,0.000114594,3
TCGA_A6_2681,-0.026637478,0.045041237,0.007344638,0.001622962,0.004683774,-0.007477941,0.003146876,-0.001436135,-0.000915815,0.001132441,0.007150804,-0.007927621,0.000147746,-0.000201294,0.000242505,0.00140693,-0.000289534,0.000160483,-2.18E-05,0.004695847,-0.000660128,-2.10E-06,3
TCGA_A6_2683,-0.017338684,0.029536485,0.005131373,0.000936097,0.003346981,-0.004929265,0.002091461,-0.001007328,-0.000857784,0.000758705,0.004645453,-0.005108944,0.000213384,-0.00114763,2.52E-05,0.000791054,-0.000321905,0.000207085,1.31E-05,0.002934099,-0.000380678,-3.95E-06,3
TCGA_A6_3807,-0.009616399,0.012587704,0.002215402,-0.00518124,0.001448773,-0.001355758,-0.001398403,-0.002606462,0.002200491,0.006954264,-0.003335366,-0.001564115,0.002443039,0.015078238,-0.00030647,-0.017775759,-0.00269724,-0.001560752,-0.009667527,0.003035225,-0.004166856,-0.002786369,3
TCGA_A6_5656,-0.000108895,0.001029443,-4.11E-05,-7.20E-05,1.79E-05,-8.13E-05,0.000817423,-0.000143785,3.39E-05,-6.03E-05,0.000777827,-0.000780556,-4.19E-05,0.000542571,7.29E-05,1.98E-05,9.05E-05,-5.11E-05,-0.000245862,0.000523148,-0.000285698,-2.20E-05,3
TCGA_A6_5659,-0.022431393,0.03838616,0.006987579,0.001085966,0.004400483,-0.006543656,0.004205246,-0.001299389,-0.001432008,0.000683947,0.006473025,-0.006834431,0.000174953,-0.000653287,0.000204923,0.000985971,-0.000203883,0.000207355,0.000406697,0.003587607,-0.000611006,-1.31E-05,3
